replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth
0,always_small,correct,known,ipw,0.6413839046572882,0.2481155264308479,0.15507747285282636,1.12769033646175,0.31590053706061727
0,always_small,correct,known,gcomp,0.3444022980107916,,,,0.31590053706061727
0,always_small,correct,known,dr,0.5773053253743323,0.24310246413149045,0.10082449567661106,1.0537861550720535,0.31590053706061727
0,failure_escalation,correct,known,ipw,0.5784217841587616,0.08504590696973792,0.4117318064980752,0.7451117618194478,0.4503863335791294
0,failure_escalation,correct,known,gcomp,0.47153974731454196,,,,0.4503863335791294
0,failure_escalation,correct,known,dr,0.46963351238621265,0.061507058477559495,0.34907967777019605,0.5901873470022293,0.4503863335791294
0,soft_escalation,correct,known,ipw,0.5277289457684029,0.05991484338732505,0.4102958527292458,0.64516203880756,0.4471300554415774
0,soft_escalation,correct,known,gcomp,0.4643779486870695,,,,0.4471300554415774
0,soft_escalation,correct,known,dr,0.46179484423426903,0.046917542349355704,0.36983646122953184,0.5537532272390062,0.4471300554415774
1,always_small,correct,known,ipw,0.49725806034018455,0.24434772101362107,0.01833652715348727,0.9761795935268818,0.31590053706061727
1,always_small,correct,known,gcomp,0.348151476392286,,,,0.31590053706061727
1,always_small,correct,known,dr,0.4630975025541638,0.18970892677629725,0.0912680060726212,0.8349269990357064,0.31590053706061727
1,failure_escalation,correct,known,ipw,0.5202629258303794,0.08241620076564489,0.3587271723297154,0.6817986793310433,0.4503863335791294
1,failure_escalation,correct,known,gcomp,0.42820873185772246,,,,0.4503863335791294
1,failure_escalation,correct,known,dr,0.4970905939136059,0.06021768933117231,0.3790639228245082,0.6151172650027036,0.4503863335791294
1,soft_escalation,correct,known,ipw,0.48483210719569214,0.058351029172784466,0.3704640900170346,0.5992001243743497,0.4471300554415774
1,soft_escalation,correct,known,gcomp,0.43158258387667836,,,,0.4471300554415774
1,soft_escalation,correct,known,dr,0.473649314028402,0.045538300569053225,0.3843942449130577,0.5629043831437464,0.4471300554415774
2,always_small,correct,known,ipw,0.17172490482944697,0.04801897832491423,0.07760770731261507,0.26584210234627886,0.31590053706061727
2,always_small,correct,known,gcomp,0.24895194827740144,,,,0.31590053706061727
2,always_small,correct,known,dr,0.19408792991272572,0.05002280659236652,0.09604322899168734,0.2921326308337641,0.31590053706061727
2,failure_escalation,correct,known,ipw,0.539742479838514,0.07965668775453012,0.3836153718396349,0.695869587837393,0.4503863335791294
2,failure_escalation,correct,known,gcomp,0.523672588039417,,,,0.4503863335791294
