task_uid,benchmark,log_episodes,M_g,M_g_a0_small,M_g_a0_large,m_g,A_g,U_g1,D_g1,U_g0,D_g0,lead_derivative_U_g
humaneval/10,humaneval,8,4,4,0,2,0.5,10.0,10.0,4.0,4.0,-0.004923110417313322
humaneval/100,humaneval,8,3,2,1,1,0.5,2.0,2.0,0.0,8.0,-0.003098461513345266
humaneval/102,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/104,humaneval,8,1,1,0,0,0.0,0.0,0.0,2.0,2.0,0.0028287341111340432
humaneval/107,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/108,humaneval,8,5,3,2,3,0.0,2.0,6.0,0.0,0.0,-0.001910803324099723
humaneval/109,humaneval,8,4,3,1,1,0.0,0.0,4.0,0.0,12.0,-0.0022682062743269176
humaneval/11,humaneval,8,1,0,1,0,0.0,2.0,2.0,0.0,0.0,-0.0023761157279162818
humaneval/110,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/113,humaneval,8,1,1,0,1,1.0,2.0,2.0,0.0,0.0,0.0020238842720837185
humaneval/114,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/115,humaneval,8,1,1,0,1,0.0,0.0,0.0,0.0,0.0,-0.0006
humaneval/118,humaneval,8,2,2,0,0,0.0,0.0,2.0,0.0,4.0,-0.00017851669080621267
humaneval/120,humaneval,8,5,4,1,2,0.0,0.0,4.0,0.0,4.0,-0.0002458604888979331
humaneval/125,humaneval,8,1,1,0,0,0.0,0.0,2.0,0.0,0.0,0.0011326562019082795
humaneval/126,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/127,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/129,humaneval,8,8,4,4,3,0.0,0.0,8.0,0.0,16.0,-0.0025140667632248506
humaneval/131,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/134,humaneval,8,2,2,0,1,0.0,0.0,0.0,0.0,0.0,-0.0006
humaneval/137,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,2.0,-0.0006555864463572461
humaneval/138,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/140,humaneval,8,4,2,2,2,0.0,0.0,0.0,2.0,6.0,0.00031756121841955117
humaneval/142,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/145,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,2.0,-0.0006555864463572461
humaneval/146,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
humaneval/147,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/150,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/151,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/153,humaneval,8,1,1,0,1,0.0,0.0,0.0,0.0,0.0,-0.0006
humaneval/154,humaneval,8,4,3,1,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
humaneval/156,humaneval,8,4,4,0,1,0.0,0.0,8.0,0.0,0.0,0.003930624807633118
humaneval/157,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/158,humaneval,8,4,0,4,2,2.0,2.0,2.0,0.0,8.0,0.0038015384866547344
humaneval/159,humaneval,8,1,1,0,1,0.5,0.0,0.0,0.0,0.0,0.0019
humaneval/160,humaneval,8,7,3,4,4,0.0,0.0,4.0,0.0,8.0,-0.002757033381612425
humaneval/161,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/19,humaneval,8,3,3,0,2,0.0,0.0,4.0,0.0,4.0,-0.0002458604888979331
humaneval/20,humaneval,8,8,4,4,1,0.5,4.0,16.0,4.0,8.0,0.008290001085170707
humaneval/21,humaneval,8,3,3,0,1,0.0,2.0,2.0,2.0,2.0,-0.00014738161678223838
humaneval/22,humaneval,8,1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0044
humaneval/24,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/25,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/26,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/31,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/32,humaneval,8,7,4,3,1,0.0,0.0,12.0,0.0,8.0,0.0035735914260206923
humaneval/33,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/35,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/36,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/37,humaneval,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
humaneval/39,humaneval,8,1,0,1,1,-0.5,0.0,0.0,2.0,2.0,-0.00027126588886595667
humaneval/4,humaneval,8,2,2,0,1,0.5,2.0,2.0,2.0,2.0,0.0023526183832177612
humaneval/44,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/45,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/46,humaneval,8,4,2,2,2,0.0,4.0,8.0,4.0,4.0,0.001970549170252082
humaneval/47,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/48,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/5,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/51,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/52,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/55,humaneval,8,1,0,1,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
humaneval/56,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/57,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/58,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/60,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/61,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/63,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/64,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/65,humaneval,8,8,4,4,5,0.0,0.0,0.0,0.0,0.0,-0.003
humaneval/66,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/67,humaneval,8,4,2,2,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
humaneval/69,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/7,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/70,humaneval,8,3,3,0,2,1.0,0.0,0.0,0.0,0.0,0.0038
humaneval/71,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/73,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/74,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/76,humaneval,8,7,4,3,1,0.0,0.0,16.0,0.0,0.0,0.008461249615266236
humaneval/77,humaneval,8,6,3,3,2,-1.5,8.0,16.0,0.0,0.0,-0.01367383810403201
humaneval/78,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/8,humaneval,8,2,2,0,0,0.0,0.0,0.0,0.0,8.0,-0.0026223457854289843
humaneval/81,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/82,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/86,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/89,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/91,humaneval,8,3,3,0,1,0.0,0.0,4.0,0.0,0.0,0.0016653124038165591
humaneval/92,humaneval,8,2,2,0,0,0.0,0.0,8.0,0.0,0.0,0.004530624807633118
humaneval/94,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/95,humaneval,8,6,2,4,3,2.0,2.0,2.0,0.0,8.0,0.0032015384866547346
humaneval/96,humaneval,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
humaneval/99,humaneval,8,5,2,3,2,0.5,4.0,4.0,0.0,4.0,-0.0047634043485470555
mbpp/102,mbpp,8,1,1,0,1,0.5,0.0,0.0,0.0,0.0,0.0019
mbpp/106,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/108,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/111,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/116,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/117,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/119,mbpp,8,3,3,0,2,0.0,0.0,4.0,0.0,4.0,-0.0002458604888979331
mbpp/124,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/125,mbpp,8,2,2,0,1,0.0,0.0,0.0,0.0,8.0,-0.003222345785428984
mbpp/128,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/130,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/131,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/132,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/137,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/138,mbpp,8,5,2,3,2,0.0,0.0,6.0,0.0,4.0,0.000886795713010346
mbpp/140,mbpp,8,1,1,0,1,-1.0,0.0,0.0,4.0,4.0,5.7468222268085636e-05
mbpp/141,mbpp,8,5,3,2,0,0.0,0.0,0.0,4.0,8.0,0.0043462953295535945
mbpp/142,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/143,mbpp,8,8,4,4,3,0.0,0.0,8.0,0.0,8.0,0.00010827902220413368
mbpp/145,mbpp,8,4,0,4,2,0.0,4.0,4.0,0.0,4.0,-0.007263404348547055
mbpp/160,mbpp,8,8,4,4,1,0.0,0.0,0.0,0.0,8.0,-0.003222345785428984
mbpp/161,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/162,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/164,mbpp,8,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/165,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/167,mbpp,8,4,4,0,2,1.5,6.0,8.0,0.0,0.0,0.00030430901815943403
mbpp/168,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/17,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/172,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
