key,path,purpose,canonical_model,C1_present,C2_servable,C3_license,C4_not_closed,C5_purpose,C6_context,C7_memory,C8_competence,any_independent_swebv_evidence,eligible_small,eligible_large
AI-MO/Kimina-Prover-RL-1.7B,~/.cache/huggingface/hub/models--AI-MO--Kimina-Prover-RL-1.7B/snapshots/1dfd2228afcc35b16eb008a81dfc2b2707750f78,theorem_prover,kimina-prover-rl-1.7b,True,True,True,True,False,True,True,False,False,False,False
Alibaba-NLP/gte-large-en-v1.5,~/.cache/huggingface/hub/models--Alibaba-NLP--gte-large-en-v1.5/snapshots/104333d6af6f97649377c2afbde10a7704870c7b,encoder_or_embedding,gte-large-en-v1.5,True,False,True,True,False,False,True,False,False,False,False
Qwen/Qwen2.5-3B-Instruct-GGUF,~/.cache/huggingface/hub/models--Qwen--Qwen2.5-3B-Instruct-GGUF/snapshots/7dabda4d13d513e3e842b20f0d435c732f172cbe,general_instruct,qwen2.5-3b-instruct,True,True,True,True,True,True,True,False,False,True,False
Qwen/Qwen2.5-7B-Instruct-GGUF,~/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct-GGUF/snapshots/bb5d59e06d9551d752d08b292a50eb208b07ab1f,general_instruct,qwen2.5-7b-instruct,True,True,True,True,True,True,True,False,False,True,False
Qwen/Qwen2.5-Coder-7B-Instruct-GGUF,~/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct-GGUF/snapshots/13fb94bfda8c8cf22497dc57b78f391a9acb426a,code_instruct,qwen2.5-coder-7b-instruct,True,True,False,False,True,True,True,False,True,False,False
Qwen/Qwen3-4B-Instruct-2507,~/.cache/huggingface/hub/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,general_instruct,qwen3-4b-instruct-2507,True,True,True,True,True,True,True,False,True,True,False
deepseek-ai/DeepSeek-Prover-V2-7B,~/.cache/huggingface/hub/models--deepseek-ai--DeepSeek-Prover-V2-7B/snapshots/a8d9e14432b2e8dd9df2a4d4e70f1ba9bc8d9b7b,theorem_prover,deepseek-prover-v2-7b,True,True,False,True,False,True,True,False,False,False,False
google/byt5-small,~/.cache/huggingface/hub/models--google--byt5-small/snapshots/68377bdc18a2ffec8a0533fef03b1c513a4dd49d,encoder_or_embedding,byt5-small,True,False,False,True,False,False,False,False,False,False,False
google/byt5-small,~/.cache/huggingface/hub/models--google--byt5-small/snapshots/6f07f879d308b7b762708b50c83d41b27e329992,encoder_or_embedding,byt5-small,True,False,False,True,False,False,False,False,False,False,False
ibm-granite/granite-3.3-8b-instruct-GGUF,~/.cache/huggingface/hub/models--ibm-granite--granite-3.3-8b-instruct-GGUF/snapshots/e40e9dd739c7be00fa965c16ce167088190ce114,general_instruct,granite-3.3-8b-instruct,True,True,True,True,True,True,True,False,False,True,False
kaiyuy/leandojo-lean4-retriever-byt5-small,~/.cache/huggingface/hub/models--kaiyuy--leandojo-lean4-retriever-byt5-small/snapshots/ebccee9d0fb1b043db797a7493c30dfde6aa8ce2,theorem_prover,leandojo-lean4-retriever-byt5-small,True,False,False,True,False,False,False,False,False,False,False
kaiyuy/leandojo-lean4-tacgen-byt5-small,~/.cache/huggingface/hub/models--kaiyuy--leandojo-lean4-tacgen-byt5-small/snapshots/67a2c53cc36186fe8539d0a342fc42c50edc68fd,theorem_prover,leandojo-lean4-tacgen-byt5-small,True,False,False,True,False,False,False,False,False,False,False
mlx-community/DeepSeek-Prover-V2-7B-4bit,~/.cache/huggingface/hub/models--mlx-community--DeepSeek-Prover-V2-7B-4bit/snapshots/851514b69bf4bfbc326c55120d805e1e5146745e,theorem_prover,deepseek-prover-v2-7b,True,False,False,True,False,True,False,False,False,False,False
mlx-community/Qwen2.5-Coder-7B-Instruct-4bit,~/.cache/huggingface/hub/models--mlx-community--Qwen2.5-Coder-7B-Instruct-4bit/snapshots/019cc73c45c770444708a6dd8690c66243cc5c80,code_instruct,qwen2.5-coder-7b-instruct,True,False,True,False,True,True,False,False,True,False,False
unsloth/Qwen3-4B-Instruct-2507-GGUF,~/.cache/huggingface/hub/models--unsloth--Qwen3-4B-Instruct-2507-GGUF/snapshots/a06e946bb6b655725eafa393f4a9745d460374c9,general_instruct,qwen3-4b-instruct-2507,True,True,True,True,True,True,True,False,True,True,False
Qwen/Qwen2.5-Coder-14B-Instruct,work/models/hf/Qwen2.5-Coder-14B-Instruct@aedcc2d,code_instruct,qwen2.5-coder-14b-instruct,True,True,True,False,True,True,True,False,True,False,False
Qwen/Qwen2.5-Coder-7B-Instruct,work/models/hf/Qwen2.5-Coder-7B-Instruct@c03e6d3,code_instruct,qwen2.5-coder-7b-instruct,True,True,True,False,True,True,True,False,True,False,False
qwen2.5-coder-14b-instruct-aedcc2d-bf16.gguf,work/models/converted_4fea119/qwen2.5-coder-14b-instruct-aedcc2d-bf16.gguf,code_instruct,qwen2.5-coder-14b-instruct,True,True,True,False,True,True,True,False,True,False,False
qwen2.5-coder-14b-instruct-aedcc2d-q4_k_m.gguf,work/models/converted_4fea119/qwen2.5-coder-14b-instruct-aedcc2d-q4_k_m.gguf,code_instruct,qwen2.5-coder-14b-instruct,True,True,True,False,True,True,True,False,True,False,False
qwen2.5-coder-7b-instruct-c03e6d3-bf16.gguf,work/models/converted_4fea119/qwen2.5-coder-7b-instruct-c03e6d3-bf16.gguf,code_instruct,qwen2.5-coder-7b-instruct,True,True,True,False,True,True,True,False,True,False,False
qwen2.5-coder-7b-instruct-c03e6d3-q4_k_m.gguf,work/models/converted_4fea119/qwen2.5-coder-7b-instruct-c03e6d3-q4_k_m.gguf,code_instruct,qwen2.5-coder-7b-instruct,True,True,True,False,True,True,True,False,True,False,False
qwen2.5-coder-14b-instruct-q4_k_m.gguf,work/models/qwen2.5-coder-14b-instruct-q4_k_m.gguf,code_instruct,qwen2.5-coder-14b-instruct,True,True,False,False,True,True,True,False,True,False,False
other-local-01,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-01,True,True,False,True,False,True,True,False,False,False,False
other-local-02,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-02,True,True,False,True,False,True,True,False,False,False,False
other-local-03,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-03,True,True,False,True,False,True,True,False,False,False,False
other-local-04,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-04,True,False,False,True,False,True,False,False,False,False,False
other-local-05,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-05,True,False,False,True,False,True,False,False,False,False,False
other-local-06,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-06,True,False,False,True,False,True,False,False,False,False,False
other-local-07,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-07,True,True,False,True,False,True,True,False,False,False,False
other-local-08,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-08,True,True,False,True,False,True,True,False,False,False,False
other-local-09,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-09,True,True,False,True,False,True,True,False,False,False,False
other-local-10,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-10,True,True,False,True,False,True,True,False,False,False,False
other-local-11,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-11,True,True,False,True,False,True,True,False,False,False,False
other-local-12,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-12,True,True,False,True,False,True,True,False,False,False,False
other-local-13,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-13,True,True,False,True,False,True,True,False,False,False,False
other-local-14,(outside the HF cache and this repository; not listed),other_local_unverified_provenance,other-local-14,True,False,False,True,False,True,False,False,False,False,False
